ordinal	subjectOrdinal	subjectCoordinate	repositoryPath	role	sidecarKind
56	16	com.syy:tfi-compare-spring-starter:jar:sources:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0-sources.jar.sha256	CHECKSUM	SHA256
57	16	com.syy:tfi-compare-spring-starter:jar:sources:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0-sources.jar.sha512	CHECKSUM	SHA512
58	17	com.syy:tfi-compare-spring-starter:jar:javadoc:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0-javadoc.jar.sha256	CHECKSUM	SHA256
59	17	com.syy:tfi-compare-spring-starter:jar:javadoc:4.0.0	com/syy/tfi-compare-spring-starter/4.0.0/tfi-compare-spring-starter-4.0.0-javadoc.jar.sha512	CHECKSUM	SHA512
60	18	com.syy:tfi-ops-spring:pom:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0.pom.sha256	CHECKSUM	SHA256
61	18	com.syy:tfi-ops-spring:pom:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0.pom.sha512	CHECKSUM	SHA512
62	19	com.syy:tfi-ops-spring:jar:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0.jar.sha256	CHECKSUM	SHA256
63	19	com.syy:tfi-ops-spring:jar:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0.jar.sha512	CHECKSUM	SHA512
64	20	com.syy:tfi-ops-spring:jar:sources:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0-sources.jar.sha256	CHECKSUM	SHA256
65	20	com.syy:tfi-ops-spring:jar:sources:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0-sources.jar.sha512	CHECKSUM	SHA512
66	21	com.syy:tfi-ops-spring:jar:javadoc:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0-javadoc.jar.sha256	CHECKSUM	SHA256
67	21	com.syy:tfi-ops-spring:jar:javadoc:4.0.0	com/syy/tfi-ops-spring/4.0.0/tfi-ops-spring-4.0.0-javadoc.jar.sha512	CHECKSUM	SHA512
68	22	com.syy:TaskFlowInsight:pom:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0.pom.sha256	CHECKSUM	SHA256
69	22	com.syy:TaskFlowInsight:pom:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0.pom.sha512	CHECKSUM	SHA512
70	23	com.syy:TaskFlowInsight:jar:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0.jar.sha256	CHECKSUM	SHA256
71	23	com.syy:TaskFlowInsight:jar:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0.jar.sha512	CHECKSUM	SHA512
72	24	com.syy:TaskFlowInsight:jar:sources:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0-sources.jar.sha256	CHECKSUM	SHA256
73	24	com.syy:TaskFlowInsight:jar:sources:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0-sources.jar.sha512	CHECKSUM	SHA512
74	25	com.syy:TaskFlowInsight:jar:javadoc:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0-javadoc.jar.sha256	CHECKSUM	SHA256
75	25	com.syy:TaskFlowInsight:jar:javadoc:4.0.0	com/syy/TaskFlowInsight/4.0.0/TaskFlowInsight-4.0.0-javadoc.jar.sha512	CHECKSUM	SHA512
