workloadId	scenario	threads	fixtureManifestPath	fixtureManifestSha256	semanticOraclePath	semanticOracleSha256	benchmarkEnvironmentPath	benchmarkEnvironmentSha256	runnerProfile	evidenceCommandId	commandSpecSha256	absoluteP99NanosMax	baselineArtifactSetSha256	maxRegressionPercent	allocationBytesPerOpMax
PERF-SET_SCALAR-8	SET_SCALAR	8	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-SET_SCALAR-32	SET_SCALAR	32	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-SET_ENTITY-1	SET_ENTITY	1	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-SET_ENTITY-8	SET_ENTITY	8	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-SET_ENTITY-32	SET_ENTITY	32	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-SET_AMBIGUOUS-1	SET_AMBIGUOUS	1	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-SET_AMBIGUOUS-8	SET_AMBIGUOUS	8	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-SET_AMBIGUOUS-32	SET_AMBIGUOUS	32	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-OBSERVED_COMPARE-1	OBSERVED_COMPARE	1	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-OBSERVED_COMPARE-8	OBSERVED_COMPARE	8	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
PERF-OBSERVED_COMPARE-32	OBSERVED_COMPARE	32	performance-fixtures.tsv	e80b71cd14d3cbd65f4173abcbfcf01a545dbca32a72d575108b553a648cc96f	performance-oracle.tsv	3b5485dd0909db36922ecd8578f18da11954810e63582f302c10881ac5c47534	performance-environment.tsv	2699ff265931c5ccc111fd51ab8228c40e390afb0445c2102a45844af02bcd4c	JMH	CMD-PERF	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	1000000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	5.0	1048576
